Customer Number;Customer Name;Age;Gender;Country;Type of Commercial;Direction of Commercial;Time on Website (Min);Items Bought on Website
305;Brandon Watson;76;Kvinna;Sverige;Sidebarreklam;Husbil-Sport;9.78;0
306;Jacqueline Smith;74;Kvinna;Norge;Helsidereklam;Husbil-Budget;5.15;2
307;Christina Thompson;62;Kvinna;Danmark;Helsidereklam;Husbil-Budget;6.86;2
308;Kimberly Williams;52;Man;Sverige;Helsidereklam;Husbil-Familj;6.27;1
309;Justin Wallace;24;Man;Norge;Sidebarreklam;Husbil-Familj;9.76;1
310;Micheal Jones Jr.;72;Man;Sverige;Popuppreklam med musik;Husbil-Lyx;0.1;0
311;Eric Smith;78;Man;Norge;Popuppreklam med musik;Husbil-Budget;0.1;0
312;Betty Bowman DVM;47;Kvinna;Norge;Popuppreklam med musik;Husbil-Sport;0.1;0
313;Paul Giles;29;Kvinna;Norge;Sidebarreklam;Husbil-Budget;9.76;0
314;Amanda Bullock;75;Man;Sverige;Helsidereklam;Husbil-Budget;5.38;2
315;Mary Johnston;44;Man;Sverige;Sidebarreklam;Husbil-Lyx;9.75;1
316;Sarah Davis;43;Man;Norge;Popuppreklam med musik;Husbil-Familj;0.1;0
317;Sandra Scott;34;Man;Danmark;Popuppreklam med musik;Husbil-Budget;0.1;0
318;Mr. Brian Werner;45;Man;Norge;Popuppreklam med musik;Husbil-Familj;0.1;0
319;Gary Nguyen;25;Man;Sverige;Sidebarreklam;Husbil-Lyx;9.73;0
320;Regina Ryan;30;Man;Norge;Popuppreklam med musik;Husbil-Familj;0.1;0
321;Todd Mason;47;Man;Sverige;Popuppreklam med musik;Husbil-Sport;0.02;0
322;Monica Calhoun;28;Man;Sverige;Helsidereklam;Husbil-Familj;6.08;1
323;Maria Wright MD;46;Man;Sverige;Popuppreklam med musik;Husbil-Budget;0.02;0
324;Megan Hill;28;Kvinna;England;Sidebarreklam;Husbil-Budget;9.73;3
325;Michael Harris;55;Man;Norge;Popuppreklam med musik;Husbil-Sport;0.02;0
326;Patrick Hodge;77;Man;Norge;Popuppreklam med musik;Husbil-Lyx;0.03;0
327;Sharon Woods DVM;65;Man;Sverige;Sidebarreklam;Husbil-Budget;9.72;3
328;Brad Garcia III;61;Man;Norge;Helsidereklam;Husbil-Sport;7.68;0
329;Kevin Tucker;55;Man;Danmark;Helsidereklam;Husbil-Familj;2.66;2
330;Brittany Lindsey;54;Kvinna;Norge;Popuppreklam med musik;Husbil-Budget;0.03;0
331;Sean Burton;47;Man;Sverige;Helsidereklam;Husbil-Sport;1.13;0
332;Jane Mitchell;66;Kvinna;Norge;Sidebarreklam;Husbil-Familj;9.72;0
333;Matthew Guerrero;37;Man;Norge;Helsidereklam;Husbil-Budget;1.63;0
334;Donald Valdez;73;Man;Danmark;Popuppreklam med musik;Husbil-Sport;0.04;0
335;Randy Daniels;20;Man;Sverige;Helsidereklam;Husbil-Lyx;3.49;1
336;Ashley Fitzpatrick;71;Man;Sverige;Popuppreklam med musik;Husbil-Budget;0.05;0
337;Hannah Obrien;69;Man;Norge;Popuppreklam med musik;Husbil-Budget;0.08;0
338;Emily Bailey;30;Man;Sverige;Sidebarreklam;Husbil-Budget;9.72;0
339;Gary Coffey;46;Kvinna;Norge;Popuppreklam med musik;Husbil-Familj;0.09;0
340;Tanya Mosley;40;Man;Danmark;Sidebarreklam;Husbil-Budget;9.7;3
341;Jennifer Smith;44;Man;Sverige;Helsidereklam;Husbil-Budget;8.76;4
342;Kristen Jenkins;48;Man;Sverige;Sidebarreklam;Husbil-Lyx;9.7;1
343;Tricia Wilson;51;Man;Norge;Helsidereklam;Husbil-Sport;3.09;0
344;Heather Strong;69;Kvinna;Norge;Helsidereklam;Husbil-Budget;8.04;2
345;Sarah Tanner;51;Man;Sverige;Helsidereklam;Husbil-Sport;5.12;0
346;Laura Whitehead;55;Man;Norge;Helsidereklam;Husbil-Familj;7.07;1
347;Shane Davis;72;Man;Sverige;Helsidereklam;Husbil-Sport;7.27;2
348;Kimberly King;45;Kvinna;Norge;Sidebarreklam;Husbil-Budget;9.67;3
349;Ana Martinez;24;Man;Sverige;Popuppreklam med musik;Husbil-Budget;0.11;0
350;Kevin Coleman;42;Man;Danmark;Helsidereklam;Husbil-Lyx;7.43;1
351;Gregory Mcclure;78;Man;Sverige;Sidebarreklam;Husbil-Budget;9.66;2
352;Raymond Scott;26;Man;Danmark;Helsidereklam;Husbil-Lyx;3.87;1
353;Mrs. Nicole Aguilar MD;41;Man;Norge;Sidebarreklam;Husbil-Budget;9.64;3
354;Michael Williams;79;Kvinna;Norge;Helsidereklam;Husbil-Sport;6.83;0
355;Katherine Potter;79;Man;Tyskland;Helsidereklam;Husbil-Familj;4.58;0
356;Kevin Durham;63;Man;Sverige;Helsidereklam;Husbil-Budget;0.42;0
357;Robert Cohen;69;Man;Sverige;Popuppreklam med musik;Husbil-Sport;0.12;0
358;James Hines;49;Man;Sverige;Helsidereklam;Husbil-Lyx;5.92;0
359;Lori Arellano;48;Kvinna;Danmark;Sidebarreklam;Husbil-Budget;9.61;3
360;Regina Wolf;73;Kvinna;Danmark;Sidebarreklam;Husbil-Budget;9.59;0
361;William Scott;62;Man;Sverige;Sidebarreklam;Husbil-Budget;9.59;2
362;Rachel Wilson;46;Kvinna;Norge;Helsidereklam;Husbil-Familj;0.87;0
363;Mrs. Erin Meyers;19;Kvinna;Danmark;Popuppreklam med musik;Husbil-Familj;0.13;0
364;Colleen Rodriguez;45;Kvinna;Danmark;Popuppreklam med musik;Husbil-Sport;0.14;0
365;Patrick Thompson;64;Man;Sverige;Popuppreklam med musik;Husbil-Budget;0.14;0
366;Daniel Thomas;73;Man;Norge;Helsidereklam;Husbil-Budget;3.43;0
367;Melissa Kennedy;54;Kvinna;Norge;Popuppreklam med musik;Husbil-Budget;0.17;0
368;Lisa Perry;70;Man;Norge;Popuppreklam med musik;Husbil-Budget;0.21;0
369;David Sanford;58;Man;Norge;Helsidereklam;Husbil-Sport;2.06;1
370;Justin Guerrero;47;Man;Danmark;Sidebarreklam;Husbil-Sport;9.57;1
371;Stephanie Jones;34;Man;Sverige;Popuppreklam med musik;Husbil-Familj;0.21;0
372;Billy Lopez;32;Kvinna;Danmark;Popuppreklam med musik;Husbil-Familj;0.22;0
373;Robert Bradley;33;Kvinna;Danmark;Sidebarreklam;Husbil-Familj;9.56;2
374;Jessica Terry;79;Man;Sverige;Helsidereklam;Husbil-Sport;4.02;1
375;Paul Dean;21;Man;Sverige;Helsidereklam;Husbil-Budget;3.99;0
376;Lee Brown;42;Kvinna;Norge;Helsidereklam;Husbil-Familj;4.38;2
377;Samantha Downs;79;Man;Sverige;Helsidereklam;Husbil-Budget;7.03;2
378;Kristin Barrett;51;Man;Sverige;Popuppreklam med musik;Husbil-Sport;0.22;0
379;Kimberly Payne;62;Man;Sverige;Sidebarreklam;Husbil-Familj;9.55;0
380;Kathy Long;70;Kvinna;Danmark;Popuppreklam med musik;Husbil-Lyx;0.24;0
381;Tina Maddox;71;Man;England;Sidebarreklam;Husbil-Lyx;9.53;1
382;David Yates;36;Man;Norge;Helsidereklam;Husbil-Lyx;4.77;3
383;Jacob Butler;79;Man;Sverige;Sidebarreklam;Husbil-Budget;9.5;0
384;Kenneth Molina;70;Kvinna;Danmark;Popuppreklam med musik;Husbil-Lyx;0.25;0
385;Nathaniel Bowen;26;Man;Norge;Helsidereklam;Husbil-Lyx;9.22;0
386;Kimberly Lawson;41;Kvinna;Danmark;Popuppreklam med musik;Husbil-Sport;0.25;0
387;Jennifer Gardner;25;Man;Norge;Sidebarreklam;Husbil-Lyx;9.49;0
388;Lisa Vasquez;42;Kvinna;Norge;Helsidereklam;Husbil-Lyx;4.16;2
389;Brittany Byrd;38;Man;Sverige;Sidebarreklam;Husbil-Budget;9.46;0
390;Jeffrey Jones;35;Man;Sverige;Popuppreklam med musik;Husbil-Familj;0.27;0
391;Christopher Graham;79;Kvinna;Danmark;Sidebarreklam;Husbil-Lyx;9.46;0
392;Jack Hudson;45;Kvinna;Danmark;Popuppreklam med musik;Husbil-Lyx;0.3;0
393;Brandi Brewer;43;Man;Sverige;Helsidereklam;Husbil-Sport;2.99;3
394;Kenneth Williams;29;Man;Norge;Popuppreklam med musik;Husbil-Lyx;0.3;0
395;Donald Barrett;47;Kvinna;Sverige;Popuppreklam med musik;Husbil-Budget;0.32;0
396;Christopher Murphy;48;Man;Tyskland;Sidebarreklam;Husbil-Budget;9.43;2
397;John Hunt;47;Kvinna;Danmark;Sidebarreklam;Husbil-Sport;9.43;2
398;April Sanchez;35;Kvinna;Norge;Helsidereklam;Husbil-Budget;8.64;0
399;Randy Shelton;37;Kvinna;Norge;Helsidereklam;Husbil-Lyx;5.91;0
400;Kenneth Rush;24;Man;Sverige;Sidebarreklam;Husbil-Familj;9.42;1
401;Kevin Jones;53;Man;Sverige;Helsidereklam;Husbil-Sport;4.2;1
402;Randy Stevens;63;Kvinna;Norge;Helsidereklam;Husbil-Budget;8.59;0
403;Christopher Bradshaw;45;Man;Sverige;Sidebarreklam;Husbil-Sport;9.39;1
404;Danny Dunn;50;Kvinna;Danmark;Popuppreklam med musik;Husbil-Lyx;0.33;0
405;Brian Wilson;30;Man;England;Sidebarreklam;Husbil-Sport;9.39;1
406;Brian Williams;34;Man;Sverige;Sidebarreklam;Husbil-Budget;9.38;2
407;Jacqueline Hinton;80;Man;Norge;Popuppreklam med musik;Husbil-Budget;0.33;0
408;Dakota Mckee;58;Kvinna;Tyskland;Popuppreklam med musik;Husbil-Budget;0.36;0
409;James Watson;71;Kvinna;Norge;Sidebarreklam;Husbil-Sport;9.38;0
410;Caroline Bishop;39;Man;Sverige;Helsidereklam;Husbil-Lyx;5.1;0
411;Johnny Armstrong;78;Kvinna;Norge;Helsidereklam;Husbil-Budget;5;0
412;Christopher Nelson;43;Kvinna;Danmark;Sidebarreklam;Husbil-Familj;9.36;0
413;Timothy Harper;22;Kvinna;Norge;Popuppreklam med musik;Husbil-Familj;0.36;0
414;Jacqueline Hayden;52;Man;Norge;Popuppreklam med musik;Husbil-Budget;0.38;0
415;Megan Singh;61;Man;Sverige;Sidebarreklam;Husbil-Familj;9.34;1
416;Garrett Lewis;59;Kvinna;Danmark;Helsidereklam;Husbil-Lyx;4.78;2
417;Norma Young;47;Man;Sverige;Helsidereklam;Husbil-Sport;7.56;1
418;Kathleen Thompson;71;Man;Sverige;Popuppreklam med musik;Husbil-Familj;0.4;0
419;Stephen Marshall;74;Man;Danmark;Helsidereklam;Husbil-Budget;2.24;2
420;Noah Solomon;60;Man;Tyskland;Sidebarreklam;Husbil-Sport;9.32;2
421;Rose Jordan;59;Kvinna;Tyskland;Sidebarreklam;Husbil-Budget;9.32;0
422;Jonathan Johnson;22;Man;England;Popuppreklam med musik;Husbil-Sport;0.42;0
423;Sarah Miller;76;Man;Danmark;Helsidereklam;Husbil-Budget;8.33;1
424;Jessica Stanton;34;Man;Sverige;Helsidereklam;Husbil-Budget;3.38;1
425;Craig Ferguson;48;Man;Danmark;Popuppreklam med musik;Husbil-Sport;0.44;0
426;Andrea Hess;29;Man;Danmark;Sidebarreklam;Husbil-Lyx;9.31;0
427;Tiffany Cobb;62;Man;Sverige;Popuppreklam med musik;Husbil-Sport;0.45;0
428;Danielle Thompson;26;Man;Norge;Helsidereklam;Husbil-Lyx;4.26;2
429;Ashley Johnson;58;Man;Norge;Popuppreklam med musik;Husbil-Lyx;0.5;0
430;Miranda Patel;65;Man;Sverige;Sidebarreklam;Husbil-Lyx;9.31;0
431;Amber Martin;34;Man;England;Popuppreklam med musik;Husbil-Familj;0.5;0
432;Heather Bates;48;Kvinna;England;Sidebarreklam;Husbil-Lyx;9.3;1
433;Jeffery Washington;78;Man;Norge;Sidebarreklam;Husbil-Familj;9.3;3
434;Tiffany Jensen;77;Man;Sverige;Helsidereklam;Husbil-Sport;5.88;1
435;Benjamin Perkins;80;Man;Norge;Popuppreklam med musik;Husbil-Lyx;0.52;0
436;Beth Bridges;47;Man;Sverige;Popuppreklam med musik;Husbil-Familj;0.53;0
437;Steven Wallace;21;Man;Sverige;Helsidereklam;Husbil-Budget;0.65;0
438;Marco Solis;70;Man;Sverige;Popuppreklam med musik;Husbil-Sport;0.53;0
439;Anthony Young;23;Man;England;Helsidereklam;Husbil-Budget;6.01;1
440;Brandon Smith;47;Man;Sverige;Popuppreklam med musik;Husbil-Budget;0.54;0
441;Jonathan Robinson;62;Man;England;Sidebarreklam;Husbil-Sport;9.3;3
442;Jason Morris;48;Kvinna;Sverige;Helsidereklam;Husbil-Sport;6.26;0
443;Daniel Fernandez;32;Man;Sverige;Popuppreklam med musik;Husbil-Lyx;0.56;0
444;Mark Mcdonald;53;Kvinna;Danmark;Sidebarreklam;Husbil-Budget;9.29;1
445;Nicholas Clay;44;Man;Sverige;Helsidereklam;Husbil-Sport;5.84;3
446;Pamela Harris;25;Kvinna;Norge;Helsidereklam;Husbil-Familj;3.67;1
447;Mark Tran;33;Kvinna;Danmark;Helsidereklam;Husbil-Sport;8.3;3
448;Richard Carrillo;33;Man;Sverige;Popuppreklam med musik;Husbil-Lyx;0.56;0
449;Deborah Patel;53;Man;Norge;Popuppreklam med musik;Husbil-Sport;0.56;0
450;Stephanie Jones;46;Man;Sverige;Helsidereklam;Husbil-Familj;5.95;0
451;Joshua Bond;54;Man;Norge;Popuppreklam med musik;Husbil-Lyx;0.56;0
452;Miss Diane Walls;74;Man;Sverige;Popuppreklam med musik;Husbil-Familj;0.6;0
453;Andrew Mann;67;Kvinna;Danmark;Popuppreklam med musik;Husbil-Lyx;0.61;0
454;Timothy Padilla;39;Man;Norge;Helsidereklam;Husbil-Familj;5.86;1
455;Stacie Rogers;63;Kvinna;Sverige;Helsidereklam;Husbil-Budget;2.71;2
456;Kathryn Harris;73;Man;Norge;Helsidereklam;Husbil-Lyx;4.33;1
457;Zachary Skinner MD;60;Man;Norge;Sidebarreklam;Husbil-Budget;9.29;0
458;Lisa Hayden;28;Kvinna;Danmark;Popuppreklam med musik;Husbil-Sport;0.62;0
459;Thomas Daniels;57;Man;Norge;Popuppreklam med musik;Husbil-Budget;0.64;0
460;Judith Hawkins;66;Man;Sverige;Helsidereklam;Husbil-Budget;6.8;0
461;Kimberly Cardenas;54;Man;Sverige;Popuppreklam med musik;Husbil-Budget;0.64;0
462;Lawrence Madden;59;Man;Sverige;Popuppreklam med musik;Husbil-Familj;0.67;0
463;Justin Randall;41;Kvinna;Danmark;Sidebarreklam;Husbil-Budget;9.29;1
464;Cheyenne Craig;67;Man;Danmark;Sidebarreklam;Husbil-Budget;9.27;2
465;Rebecca Klein;63;Man;England;Popuppreklam med musik;Husbil-Sport;0.67;0
466;Kevin Kane;53;Kvinna;Sverige;Sidebarreklam;Husbil-Lyx;9.26;2
467;Wendy Harmon;50;Kvinna;Danmark;Helsidereklam;Husbil-Budget;2.22;2
468;Charles Peck;77;Man;Sverige;Popuppreklam med musik;Husbil-Lyx;0.71;0
469;Craig Patel;43;Man;Norge;Helsidereklam;Husbil-Familj;2.65;1
470;Andrew Ramos;69;Man;Sverige;Helsidereklam;Husbil-Familj;1.2;0
471;Kenneth Allen;53;Man;Sverige;Popuppreklam med musik;Husbil-Lyx;0.73;0
472;Beth Fitzgerald;75;Man;Sverige;Helsidereklam;Husbil-Sport;3.52;1
473;Michelle Rowe;26;Man;Sverige;Helsidereklam;Husbil-Lyx;7.62;3
474;Lawrence Bell;49;Man;Sverige;Sidebarreklam;Husbil-Lyx;9.26;1
475;Virginia Cummings;33;Man;Sverige;Popuppreklam med musik;Husbil-Sport;0.74;0
476;Cassidy Morrison;23;Kvinna;Danmark;Popuppreklam med musik;Husbil-Sport;0.75;0
477;Tara Scott;20;Kvinna;Norge;Sidebarreklam;Husbil-Familj;9.23;1
478;Jessica Petersen;46;Kvinna;Danmark;Sidebarreklam;Husbil-Sport;9.22;1
479;Jonathon Scott;62;Man;Norge;Helsidereklam;Husbil-Budget;3.54;1
480;Christina Wood;26;Kvinna;Danmark;Helsidereklam;Husbil-Sport;5.67;3
481;Ashley Watson;70;Kvinna;Norge;Helsidereklam;Husbil-Sport;5.21;0
482;Krista Lucero;42;Man;Sverige;Helsidereklam;Husbil-Lyx;7.05;1
483;Mindy Flores;65;Man;Norge;Helsidereklam;Husbil-Lyx;1.87;1
484;Logan Simon;69;Man;Norge;Sidebarreklam;Husbil-Sport;9.2;2
485;Valerie Le;67;Man;Sverige;Popuppreklam med musik;Husbil-Lyx;0.76;0
486;John Warner;44;Man;Norge;Helsidereklam;Husbil-Budget;5.66;3
487;Jasmine Novak;57;Man;Sverige;Sidebarreklam;Husbil-Budget;9.2;2
488;Leslie Williams;43;Kvinna;Tyskland;Sidebarreklam;Husbil-Sport;9.19;6
489;Anthony Todd;32;Man;Norge;Popuppreklam med musik;Husbil-Familj;0.76;0
490;Ann Ellison;32;Man;Sverige;Helsidereklam;Husbil-Budget;6.73;2
491;Linda Sandoval;41;Kvinna;Danmark;Popuppreklam med musik;Husbil-Budget;0.77;0
492;Samantha Nichols;59;Kvinna;Norge;Sidebarreklam;Husbil-Lyx;9.19;1
493;Daniel Price;62;Kvinna;Danmark;Popuppreklam med musik;Husbil-Sport;0.79;0
494;Amy Savage;46;Kvinna;Danmark;Helsidereklam;Husbil-Familj;6.45;1
495;Tammy Marks;78;Man;Sverige;Sidebarreklam;Husbil-Sport;9.18;1
496;Sherry Nelson;42;Man;Sverige;Helsidereklam;Husbil-Budget;4.74;1
497;Heather Stevens;72;Man;Tyskland;Popuppreklam med musik;Husbil-Budget;0.8;0
498;Brian Mcdaniel;38;Man;Norge;Popuppreklam med musik;Husbil-Sport;0.8;0
499;Megan Cameron;72;Kvinna;Danmark;Popuppreklam med musik;Husbil-Lyx;0.83;0
500;Laura Wilson;79;Man;Tyskland;Popuppreklam med musik;Husbil-Sport;0.83;0
501;Adrian Murray;44;Man;Sverige;Helsidereklam;Husbil-Familj;7.2;1
502;Susan Burton;34;Kvinna;Sverige;Sidebarreklam;Husbil-Budget;9.14;0
503;Joan Johnson;62;Kvinna;Danmark;Sidebarreklam;Husbil-Familj;9.14;3
504;Thomas Harvey;22;Man;Sverige;Sidebarreklam;Husbil-Sport;9.11;1
505;Kevin Mcbride;74;Man;England;Sidebarreklam;Husbil-Lyx;9.11;1
506;Kelly Owen;62;Kvinna;Norge;Popuppreklam med musik;Husbil-Lyx;0.85;0
507;Jessica Sherman;64;Man;Danmark;Helsidereklam;Husbil-Lyx;4.46;3
508;Toni Archer;71;Man;Danmark;Helsidereklam;Husbil-Lyx;1.48;0
509;Francisco Young;50;Kvinna;Danmark;Popuppreklam med musik;Husbil-Budget;0.86;0
510;Rick Miller;49;Kvinna;Danmark;Popuppreklam med musik;Husbil-Familj;0.87;0
511;Alicia Watson;73;Man;Danmark;Sidebarreklam;Husbil-Lyx;9.09;0
512;Sarah Duke;32;Man;Norge;Sidebarreklam;Husbil-Sport;9.07;3
513;Daisy Hoffman;29;Man;Sverige;Popuppreklam med musik;Husbil-Familj;0.87;0
514;Ashley Tran;52;Kvinna;Sverige;Helsidereklam;Husbil-Familj;6.98;0
515;Mackenzie Padilla;63;Man;Sverige;Sidebarreklam;Husbil-Familj;9.07;1
516;Jeffrey Graham;69;Man;England;Sidebarreklam;Husbil-Budget;9.06;2
517;Lance Page;47;Man;Norge;Popuppreklam med musik;Husbil-Budget;0.88;0
518;Rebecca Anderson;63;Man;Sverige;Sidebarreklam;Husbil-Familj;9.05;1
519;Christina Mahoney;60;Kvinna;Danmark;Helsidereklam;Husbil-Sport;3.68;0
520;Carol Pena;46;Man;Danmark;Sidebarreklam;Husbil-Sport;9.04;1
521;Eugene Poole;45;Man;Norge;Popuppreklam med musik;Husbil-Familj;0.89;0
522;Cory Manning;39;Man;Sverige;Sidebarreklam;Husbil-Budget;9.04;0
523;Christopher Gardner;28;Man;Norge;Sidebarreklam;Husbil-Sport;9.04;1
524;Cynthia Merritt;19;Man;Norge;Helsidereklam;Husbil-Budget;4.2;3
525;Daniel Boyer;22;Kvinna;Danmark;Helsidereklam;Husbil-Familj;4.3;0
526;Rodney Peck;44;Man;Tyskland;Sidebarreklam;Husbil-Budget;9.04;0
527;Cynthia Rodriguez;59;Man;Sverige;Popuppreklam med musik;Husbil-Sport;0.89;0
528;Jenna Johnson;68;Man;Danmark;Helsidereklam;Husbil-Sport;7.56;1
529;Justin Howard;49;Kvinna;England;Sidebarreklam;Husbil-Familj;9.03;0
530;Patricia Flores;51;Man;Sverige;Sidebarreklam;Husbil-Sport;9.02;2
531;Louis Jordan;74;Kvinna;Danmark;Helsidereklam;Husbil-Familj;6.4;1
532;Rebecca Oconnor;57;Kvinna;Danmark;Helsidereklam;Husbil-Familj;6.43;4
533;Tammy Krueger;51;Kvinna;Sverige;Sidebarreklam;Husbil-Budget;9.01;1
534;Frank Smith;53;Man;Danmark;Sidebarreklam;Husbil-Sport;8.98;1
535;Deborah Powell;51;Man;Sverige;Popuppreklam med musik;Husbil-Budget;0.9;0
536;Sherry Williams;68;Kvinna;Norge;Helsidereklam;Husbil-Lyx;5.22;0
537;Matthew Brock;44;Man;Danmark;Popuppreklam med musik;Husbil-Lyx;0.9;0
538;Michael Stokes;58;Kvinna;Norge;Popuppreklam med musik;Husbil-Lyx;0.92;0
539;David Hall;25;Man;Norge;Helsidereklam;Husbil-Budget;4.5;1
540;John Vasquez;53;Kvinna;Danmark;Popuppreklam med musik;Husbil-Sport;0.93;0
541;William Gray;52;Man;Sverige;Sidebarreklam;Husbil-Sport;8.96;1
542;Lisa Bennett;72;Man;Sverige;Sidebarreklam;Husbil-Sport;8.96;1
543;Ashley Crane;27;Kvinna;Norge;Helsidereklam;Husbil-Sport;3.81;1
544;Brittney Lee;70;Kvinna;Norge;Sidebarreklam;Husbil-Budget;8.95;1
545;Maria Palmer;27;Kvinna;Norge;Popuppreklam med musik;Husbil-Lyx;0.95;0
546;Ashley Cannon;64;Man;Sverige;Helsidereklam;Husbil-Lyx;7.35;0
547;John Morales;62;Kvinna;Danmark;Popuppreklam med musik;Husbil-Budget;0.95;0
548;Michael Patterson;45;Kvinna;Danmark;Helsidereklam;Husbil-Lyx;1.26;0
549;Christina Ewing;60;Man;Sverige;Popuppreklam med musik;Husbil-Lyx;0.97;0
550;Theresa Reyes;66;Kvinna;Sverige;Popuppreklam med musik;Husbil-Familj;1.01;0
551;Lauren Santos;50;Kvinna;Danmark;Sidebarreklam;Husbil-Budget;8.92;1
552;Beth Lee;62;Kvinna;Danmark;Popuppreklam med musik;Husbil-Lyx;1.02;0
553;Richard Horton;78;Kvinna;Danmark;Helsidereklam;Husbil-Sport;5.64;1
554;Mrs. Melissa Thompson DVM;75;Man;Norge;Sidebarreklam;Husbil-Lyx;8.92;0
555;Christina Thomas;27;Man;England;Sidebarreklam;Husbil-Lyx;8.91;1
556;Joseph Winters;54;Man;Tyskland;Popuppreklam med musik;Husbil-Budget;1.02;0
557;Reginald Mejia;34;Man;Sverige;Helsidereklam;Husbil-Budget;8.82;2
558;Rebekah Rosario;65;Kvinna;Sverige;Popuppreklam med musik;Husbil-Sport;1.03;0
559;Tiffany Martin;40;Kvinna;Danmark;Helsidereklam;Husbil-Sport;3.4;1
560;Samantha Hunt;18;Man;Sverige;Popuppreklam med musik;Husbil-Sport;1.04;0
561;Dustin Nixon;55;Man;England;Helsidereklam;Husbil-Budget;3.77;1
562;Eric Johnson PhD;31;Man;Sverige;Popuppreklam med musik;Husbil-Familj;1.05;0
563;Alex Watkins;74;Man;Sverige;Helsidereklam;Husbil-Sport;4.11;1
564;Matthew Fox;46;Man;Sverige;Sidebarreklam;Husbil-Lyx;8.9;2
565;Jennifer Brooks;38;Man;Sverige;Sidebarreklam;Husbil-Sport;8.89;0
566;Gabriel Cox;51;Man;Sverige;Helsidereklam;Husbil-Lyx;5.98;1
567;Haley Nguyen;23;Man;Danmark;Helsidereklam;Husbil-Familj;6.56;1
568;Jon Young;30;Kvinna;England;Helsidereklam;Husbil-Familj;5.62;0
569;Kenneth Jones;59;Kvinna;Norge;Helsidereklam;Husbil-Sport;1.77;1
570;Brandon Lopez;69;Man;Tyskland;Popuppreklam med musik;Husbil-Sport;1.05;0
571;Ashley Maldonado;74;Man;Sverige;Popuppreklam med musik;Husbil-Budget;1.1;0
572;Nancy Jones;43;Man;Danmark;Sidebarreklam;Husbil-Familj;8.89;2
573;Jeremy Mcdonald;21;Man;Norge;Sidebarreklam;Husbil-Familj;8.86;3
574;Lisa Perry;68;Man;Sverige;Sidebarreklam;Husbil-Sport;8.85;0
575;Heather Harris;74;Kvinna;Danmark;Sidebarreklam;Husbil-Lyx;8.84;1
576;Lisa Hardin;49;Kvinna;Norge;Popuppreklam med musik;Husbil-Lyx;1.1;0
577;Valerie Kidd;67;Man;Sverige;Helsidereklam;Husbil-Budget;7.96;2
578;Katelyn Mendoza;29;Man;England;Sidebarreklam;Husbil-Sport;8.83;0
579;Andrea Thompson;51;Kvinna;Danmark;Popuppreklam med musik;Husbil-Lyx;1.12;0
580;Ariel Johnson;44;Man;Sverige;Popuppreklam med musik;Husbil-Budget;1.12;0
581;Lisa Reyes;52;Man;Sverige;Sidebarreklam;Husbil-Lyx;8.83;0
582;Bryan Strong;54;Man;Sverige;Popuppreklam med musik;Husbil-Familj;1.12;0
583;Krystal Smith;19;Man;Sverige;Popuppreklam med musik;Husbil-Sport;1.13;0
584;Cynthia Brown;27;Kvinna;Danmark;Helsidereklam;Husbil-Sport;4.38;0
585;Charles Gregory;36;Man;Norge;Sidebarreklam;Husbil-Sport;8.8;2
586;Kristin Anderson;52;Man;Norge;Popuppreklam med musik;Husbil-Lyx;1.13;0
587;Grant Burke;77;Kvinna;Sverige;Popuppreklam med musik;Husbil-Lyx;1.14;0
588;Bryce Garza;71;Kvinna;Danmark;Popuppreklam med musik;Husbil-Lyx;1.15;0
589;Vincent Martin;51;Kvinna;Danmark;Helsidereklam;Husbil-Familj;8.58;1
590;Emily Clark;51;Man;Sverige;Helsidereklam;Husbil-Sport;1.77;1
591;Mark Soto;71;Man;Norge;Helsidereklam;Husbil-Sport;4.27;1
592;Bradley Ward;78;Man;Sverige;Popuppreklam med musik;Husbil-Lyx;1.15;0
593;Tyler Mcdonald;43;Man;Norge;Popuppreklam med musik;Husbil-Sport;1.16;0
594;Amanda Paul;41;Man;Sverige;Helsidereklam;Husbil-Lyx;3.44;1
595;Brandon Herring;37;Man;Danmark;Popuppreklam med musik;Husbil-Lyx;1.16;0
596;Jessica King;49;Man;Sverige;Popuppreklam med musik;Husbil-Budget;1.18;0
597;Brooke Hobbs;21;Kvinna;Danmark;Popuppreklam med musik;Husbil-Familj;1.18;0
598;Luis Reed;79;Man;England;Sidebarreklam;Husbil-Familj;8.8;0
599;Helen Turner;30;Man;Danmark;Helsidereklam;Husbil-Budget;1.72;2
600;Adam Smith;48;Kvinna;Danmark;Helsidereklam;Husbil-Lyx;4.48;1
601;Kenneth Perkins;24;Man;England;Popuppreklam med musik;Husbil-Familj;1.19;0
602;Morgan Francis;49;Man;Sverige;Sidebarreklam;Husbil-Familj;8.78;0
603;Andrea Anderson;19;Man;Norge;Helsidereklam;Husbil-Sport;1.36;0
604;Rachel Osborn;27;Man;Sverige;Popuppreklam med musik;Husbil-Sport;1.2;0
605;Linda Nielsen;35;Man;Norge;Popuppreklam med musik;Husbil-Lyx;1.21;0
606;Christopher Evans;35;Kvinna;Danmark;Helsidereklam;Husbil-Lyx;2.2;1
607;Teresa Bates;79;Man;Norge;Popuppreklam med musik;Husbil-Budget;1.21;0
608;Jillian Richards;53;Man;Sverige;Helsidereklam;Husbil-Familj;4.85;0
